Card Compatibility,,Secret Dinos,,,,,Egg Cards,,,,,,,,,,,,
ODR = Operation Dino Rescue,Card,Type,Compatibility,Code,,Card,Compatibility,Code,Dinosaurs ->,,,,,,,,,,
AF = Alpha Fortress,Deinonychus,Attack,ODR,SEGAV5A9EWR2,,Fire Egg 1,AF,SEGA8EVXJ7FB,Tyrannosaurus (Attack),Carcharodontosaurus (Defense),Torvosaurus (Tie),Giganotosaurus (Attack),Acrocanthosaurus (Defense),Tarbosaurus (Defense),Gorgosaurus (Tie),Alioramus (Counter),,,
JPN = Japanese Game,Deinonychus,Crisis,AF,SEGA190AG42O,,Fire Egg 2,AF,SEGAH6VL5XN2,Tyrannosaurus (Attack),Carcharodontosaurus (Defense),Daspletosaurus (Blitz),Torvosaurus (Tie),Yangchuanosaurus (Charge),Giganotosaurus (Attack),Acrocanthosaurus (Defense),Tarbosaurus (Defense),Gorgosaurus (Tie),Alioramus (Counter),
Card codes found by Anvil,Deinonychus,Revival,AF,SEGAY7GQH3TM,,Fire Egg 3,JPN,SEGARQ9WP0T3,Tyrannosaurus (Counter),Saurophaganax (Super Attack),Carcharodontosaurus (Defense),Daspletosaurus (Blitz),Yangchuanosaurus (Charge) ,Acrocanthosaurus (Defense),Albertosaurus (Heroic),Alioramus (Counter),,,
,Deinonychus,Reform,JPN,SEGA9FA4RP2X,,Water Egg 1,AF,SEGAK1X7W2HZ,Spinosaurus (Tie),Ampelosaurus (Hunter),Amargasaurus (Attack),Baryonyx (Defense),Suchomimus (Defense),Saltasaurus (Attack),Camarasaurus (Tie),Patagosaurus (Blitz),Opisthocoelicaudia (Crisis),Irritator (Defense),
Combo Card Dinosaurs below here,Pachycephalosaurus,Tie,ODR,SEGAZ0NJFH34,,Water Egg 2,JPN,SEGAIKXLK8ZM,Spinosaurus (Blitz),Ampelosaurus (Hunter),Amargasaurus (Attack),Jobaria (Heroic),Baryonyx (Counter),Suchomimus (Defense),Camarasaurus (Tie),Opisthocoelicaudia (Crisis),,,
,Pachycephalosaurus,Blitz,AF,SEGAC8J4CDQL,,Lightning Egg 1,AF,SEGAB1Z8LZYG,Styracosaurus (Defense),Pachyrhinosaurus (Tie),Torosaurus (Attack),Arrhinoceratops (Crisis),Triceratops (Tie),Chasmosaurus (Attack),Eucentrosaurus (Defense),Brachyceratops (Blitz),Einiosaurus (Attack),,
,Pachycephalosaurus,Revival,AF,SEGAV0XW7G4B,,Lightning Egg 2,JPN,SEGAWCKOPRAV,Styracosaurus (Defense),Pentaceratops (Hunter),Pachyrhinosaurus (Counter),Anchiceratops (Charge),Arrhinoceratops (Crisis),Diceratops (Tie Defense),Centrosaurus (Blitz),Brachyceratops (Blitz),,,
,Pachycephalosaurus,Strength,JPN,SEGA1PNMC4SZ,,Earth Egg 1,AF,SEGA71SZNSVN,Saichania (Tie),Euoplocephalus (Crisis),Stegosaurus (Attack),Tarchia (Heroic),Edmontonia (Defense),Ankylosaurus (Attack),Kentrosaurus (Defense),Nodosaurus (Blitz),Sauropelta (Tie),Dacentrurus (Counter),Wuerhosaurus (Defense)
,Therizinosaurus,Defense,ODR,SEGA7BBJKSV6,,Earth Egg 2,JPN,SEGAU95XSS1Q,Saichania (Tie),Euoplocephalus (Crisis),Stegosaurus (Crisis),Tarchia (Attack),Edmontonia (Blitz),Gastonia (Attack),Dacentrurus (Counter),Talarurus (Charge),,,
,Therizinosaurus,Counter,AF,SEGAV92OTJLZ,,Grass Egg 1,AF,SEGAPFOE71QU,Parasaurolophus (Defense),Saurolophus (Blitz),Altirhinus (Crisis),Lambeosaurus (Tie),Shantungosaurus (Attack),Iguanodon (Attack),Maiasaura (Tie),Corythosaurus (Counter),Tsintaosaurus (Defense),Ouranosaurus (Attack),Muttaburrasaurus (Hunter)
,Therizinosaurus,Revival,AF,SEGAY3CZU7Y5,,Grass Egg 2,JPN,SEGAQCBCAC3E,Parasaurolophus (Defense),Saurolophus (Blitz),Altirhinus (Crisis),Charonosaurus (Hunter),Shantungosaurus (Attack),Iguanodon (Blitz),Fukuisaurus (Crisis),Muttaburrasaurus (Hunter),,,
,Therizinosaurus,Tie Defense,JPN,SEGALD8X6SWX,,Wind Egg 1,AF,SEGAG7MN0RXA,Carnotaurus (Attack),Megaraptor (Counter),Utahraptor (Defense),Ceratosaurus (Tie),Deltadromeus (Blitz),Allosaurus (Tie),Neovenator (Attack),Sinraptor (Heroic),Monolophosaurus (Defense),Eustreptopondylus (Crisis),Dilophosaurus (Defense)
,Super Therizinosurus,Super,JPN,SEGAUPUDHPZR,,Wind Egg 2,JPN,SEGAX7HBKSBU,Carnotaurus (Heroic),Megaraptor (Counter),Utahraptor (Defense),Majungasaurus (Charge),Deltadromeus (Blitz),Neovenator (Attack),Fukuiraptor (Blitz),Gojirasaurus (Charge),,,
,Megalosaurus,Reform,JPN,SEGA4YIZDBU0,,Secret Egg 1,AF,SEGAOYKF6TZK,Deinonychus (Crisis),Pachycephalosaurus (Blitz),Therizinosaurus (Counter),,,,,,,,
,Megalosaurus,Warning,JPN,SEGA04N1F9VP,,Secret Egg 2,JPN,SEGALM7F0MBD,Megalosaurus (Reform),Pawpawsaurus (Willpower),Cryolophosaurus (Strength),Apatosaurus (Tie Defense),,,,,,,
,Pawpawsaurus,Willpower,JPN,SEGA2AAOSZK2,,Alpha Egg,AF,SEGAOCB6OWPS,Alpha Acrocanthosaurus (Tie),Alpha Gorgosaurus (Tie),Alpha Irritator (Defense),Alpha Einiosaurus (Attack),Alpha Wuerhosaurus (Defense),Alpha Ouranosaurus (Attack),Alpha Dilophosaurus (Defense),,,,
,Pawpawsaurus,Blunder/Impact,JPN,SEGAYOZCL0MU,,Asia Egg,JPN,SEGA6MWU4S26,Saichania (Counter),Altirhinus (Tie),Yangchuanosaurus (Defense),Sinraptor (Defense),Fukuisaurus (Defense),Fukuiraptor (Tie),Alioramus (Tie),,,,
,Cryolophosaurus,Strength,JPN,SEGAM2MWLM0X,,Africa Egg,JPN,SEGASBRKU1MM,Spinosaurus (Heroic),Carcharodontosaurus (Counter),Majungasaurus (Counter),Deltadromeus (Charge),Kentrosaurus (Heroic),Ouranosaurus (Blitz),,,,,
,Cryolophosaurus,Tie Recovery,JPN,SEGAYO5PZ285,,Europe Egg,JPN,SEGAO8NM7WQ1,Ampelosaurus (Counter),Baryonyx (Hunter),Iguanodon (Defense),Dacentrurus (Tie),Eustreptospondylus (Defense),Camptosaurus (Reform),,,,,
,Apatosaurus,Tie Defense,JPN,SEGACWAONH34,,N America Egg 1,JPN,SEGAE5GMIPOC,Tyrannosaurus (Hunter),Pachyrhinosaurus (Heroic),Edmontonia (Heroic),Corythosaurus (Attack),Camarasaurus (Charge),Dilophosaurus (Blitz),,,,,
,Apatosaurus,Lethal,JPN,SEGAQWGJAYUU,,N America Egg 2,JPN,SEGAWR6UHGY7,Styracosaurus (Charge),Stegosaurus (Hunter),Ceratosaurus (Heroic),Maiasaura (Blitz),Albertosaurus (Attack),Brachyceratops (Hunter),,,,,
,Eoraptor,Blunder/Impact,JPN,SEGAO45U0OXN,,S America Egg,JPN,SEGALDW3E647,Carnotaurus (Crisis),Megaraptor (Attack),Amargasaurus (Charge),Giganotosaurus (Hunter),Patagosaurus (Defense),Irritator (Heroic),,,,,
,,,,,,Red Egg (Max),JPN,SEGA3GXJ81BK,Tyrannosaurus (Attack),Majungasaurus (Charge),Prosaurolophus (Recovery),Tuojiangosaurus (Willpower),Afrovenator (Reform),Diceratops (Tie Defense),Albertosaurus (Heroic),Achelousaurus (Heroic),Muttaburrasaurus (Hunter),Opisthocoelicaudia (Crisis),
,,,,,,Blue Egg (Rex),JPN,SEGANJ5NDZO2,Ampelosaurus (Hunter),Pachyrhinosaurus (Tie),Altirhinus (Crisis),Jobaria (Heroic),Deltadromeus (Blitz),Allosaurus (Tie),Brachylophosaurus (Strength),Gorgosaurus (Tie),Irritator (Defense),Talarurus (Charge),
,,,,,,Green Egg (Zoe),JPN,SEGA3HCTYWNX,Isisaurus (Super Defense),Megaraptor (Counter),Carcharodontosaurus (Defense),Anchiceratops (Charge),Anatotitan (Heroic),Suchomimus (Defense),Chasmosaurus (Attack),Dacentrurus (Counter),Fukuisaurus (Defense),Liliensternus (Heroic),
,,,,,,Yellow Egg,JPN,SEGA5P9KZWPN,Mapusaurus (Reform),Saurolophus (Blitz),Amargasaurus (Attack),Torosaurus (Attack),Kentrosaurus (Defense),Corythosaurus (Counter),Tarbosaurus (Defense),Eucentrosaurus (Defense),Pinacosaurus (Recovery),Brachyceratops (Blitz),
,,,,,,Purple Egg,JPN,SEGAWY4J1ZTF,Saichania (Tie),Daspletosaurus (Blitz),Stegosaurus (Attack),Utahraptor (Defense),Albertaceratops (Lucky 7),Dicraeosaurus (Charge),Maiasaura (Tie),Eustreptospondylus (Crisis),Zuniceratops (Lucky 7),Szechuanosaurus (Willpower),
,,,,,,Brown/Orange Egg,JPN,SEGAV91JV6RC,Pentaceratops (Hunter),Lambeosaurus (Tie),Charonosaurus (Hunter),Baryonyx (Counter),Shunosaurus (Hunter),Edmontonia (Defense),Acrocanthosaurus (Defense),Ankylosaurus (Attack),Fukuiraptor (Tie),Brachyceratops (Blitz),
,,,,,,Gray Egg,JPN,SEGAPCEE6ECC,Carnotaurus (Attack),Titanosaurus (Tie Defense),Yangchuanosaurus (Charge),Arrhinoceratops (Crisis),Rajasaurus (Hunter),Iguanodon (Attack),Camarasaurus (Tie),Monoclonius (Charge),Alioramus (Counter),Gojirasaurus (Charge),
,,,,,,Jurassic Egg,JPN,SEGACSNMRVEG,Allosaurus Atrox (Lucky 7),Stegosaurus (Crisis),Yangchuanosaurus (Charge),Cetiosaurus (Willpower),Ceratosaurus (Crisis),Dicraeosaurus (Charge),Camarasaurus (Crisis),Lexovisaurus (Tie Defense),Eustreptospondylus (Crisis),Camptosaurus (Reform),
,,,,,,Cretaceous Egg 1,JPN,SEGA6I344509,Carnotaurus (Heroic),Amargasaurus (Crisis),Altirhinus (Crisis),Baryonyx (Counter),Afrovenator (Reform),Giganotosaurus (Counter),Gastonia (Hunter),Iguanodon (Blitz),Sauropelta (Heroic),Muttaburrasaurus (Hunter),
,,,,,,Cretaceous Egg 2,JPN,SEGA7V4AJZDW,Tyrannosaurus (Hunter),Anchiceratops (Charge),Majungasaurus (Charge),Albertaceratops (Lucky 7),Anatotitan (Heroic),Nemegtosaurus (Lucky 7),Indosuchus (Strength),Achelousaurus (Heroic),Tarbosaurus (Blitz),Talarurus (Charge),
,,,,,,Cretaceous Egg 3,JPN,SEGAJ166424Q,Isisaurus (Strength),Tarchia (Heroic),Prosaurolophus (Recovery),Abelisaurus (Recovery),Deltadromeus (Blitz),Rajasaurus (Hunter),Udanoceratops (Tie Defense),Monoclonius (Charge),Pinacosaurus (Recovery),Opisthocoelicaudia (Crisis),
,,,,,,Cretaceous Egg 4,JPN,SEGAYO2LOI7W,Pentaceratops (Hunter),Carcharodontosaurus (Blitz),Titanosaurus (Tie Defense),Torosaurus (Heroic),Panoplosaurus (Lethal),Gondwanatitan (Recovery),Ankylosaurus (Crisis),Albertosaurus (Heroic),Tsintaosaurus (Counter),Zuniceratops (Lucky 7),
,,,,,,,,,,,,,,,,,,,
,Dinosaurs with built-in moves,,,,,,,,,,,,,,,,,,
Therizinosaurus (With Gavro),Tie Defense,JPN,SEGARHB7SO1A,Claw Blade,Attack Boost,Gyro Claw,,,,,,,,,,,,,
Pachycephalosaurus (With Sheer),Strength,JPN,SEGAO84WRJ7J,Tie Attack,Diving Strike,Laser Ray,,,,,,,,,,,,,
Deinonychus (With Foolscap),Reform,JPN,SEGAXTZVMBMK,Dynamic Galaxy,Spinning Attack,Light Recovery,,,,,,,,,,,,,
Cryolophosaurus (With Seth),Strength,JPN,SEGA7UCO2NUL,Snow Crystal,Haste,Blizzard Smash,,,,,,,,,,,,,
Apatosaurus (With Specter),Tie Defense,JPN,SEGAEBPIM2P5,Defense Boost,Arc Discharge,Electro Launcher,,,,,,,,,,,,,
